LATITUDE,LONGITUDE,YEAR,OND_SUM
9.25,76.75,1951,763.5288987159729
9.25,76.75,1952,653.2508136332035
9.25,76.75,1953,574.4214429855347
9.25,76.75,1954,696.862818390131
9.25,76.75,1955,503.85191109776497
9.25,76.75,1956,876.4010969400406
9.25,76.75,1957,530.7681460380554
9.25,76.75,1958,566.5123321413994
9.25,76.75,1959,508.1182942837477
9.25,76.75,1960,1229.2814456820488
9.25,76.75,1961,374.5938254147768
9.25,76.75,1962,493.13821706175804
9.25,76.75,1963,620.9559487104416
9.25,76.75,1964,739.39795088768
9.25,76.75,1965,674.7744280695915
9.25,76.75,1966,595.5160906165838
9.25,76.75,1967,291.09871846437454
9.25,76.75,1968,1119.0734730362892
9.25,76.75,1969,449.07183377444744
9.25,76.75,1970,507.7956885397434
9.25,76.75,1971,387.0854610353708
9.25,76.75,1972,798.337985098362
9.25,76.75,1973,620.2918224781752
9.25,76.75,1974,394.3123387545347
9.25,76.75,1975,858.4071812778711
9.25,76.75,1976,712.4908058345318
9.25,76.75,1977,1089.8337759524584
9.25,76.75,1978,837.8687084913254
9.25,76.75,1979,960.5413196980953
9.25,76.75,1980,820.3667536228895
9.25,76.75,1981,640.8039209991693
9.25,76.75,1982,498.76680117845535
9.25,76.75,1983,371.72616060078144
9.25,76.75,1984,265.53158117830753
9.25,76.75,1985,544.2645892128348
9.25,76.75,1986,584.62386970222
9.25,76.75,1987,707.2896005660295
9.25,76.75,1988,184.75360591709614
9.25,76.75,1989,450.6012182086706
9.25,76.75,1990,533.6358327865601
9.25,76.75,1991,514.3439551219344
9.25,76.75,1992,933.2546494305134
9.25,76.75,1993,832.7660668864846
9.25,76.75,1994,926.7727363109589
9.25,76.75,1995,468.66157430410385
9.25,76.75,1996,637.186364531517
9.25,76.75,1997,1239.1246329843998
9.25,76.75,1998,955.458493232727
9.25,76.75,1999,1067.870991140604
9.25,76.75,2000,387.72475799918175
9.25,76.75,2001,734.7337159588933
9.25,76.75,2002,794.6740435063839
9.25,76.75,2003,602.3286422863603
9.25,76.75,2004,486.2498541176319
9.25,76.75,2005,580.832169085741
9.25,76.75,2006,826.5526988133788
9.25,76.75,2007,788.3325173854828
9.25,76.75,2008,501.20130468159914
9.25,76.75,2009,605.3078399896622
9.25,76.75,2010,1145.0946946293116
9.25,76.75,2011,533.5051079392433
9.25,76.75,2012,337.46135671436787
9.25,76.75,2013,412.453423820436
9.25,76.75,2014,437.1139166802168
9.25,76.75,2015,801.1843139827251
9.25,76.75,2016,468.7789328247309
9.25,76.75,2017,969.3266808912158
9.25,76.75,2018,885.7215782105923
9.25,76.75,2019,735.4000681713223
9.25,76.75,2020,461.80012805759907
9.25,76.75,2021,1871.2907736226916
9.25,76.75,2022,962.7532240226865
9.25,76.75,2023,1157.8759639449418
9.25,77.0,1901,879.2100721895695
9.25,77.0,1902,837.679665133357
9.25,77.0,1903,722.9166050851345
9.25,77.0,1904,475.300635650754
9.25,77.0,1905,407.38623920083046
9.25,77.0,1906,661.9586943238974
9.25,77.0,1907,824.0009250640869
9.25,77.0,1908,351.87297765910625
9.25,77.0,1909,544.6403484344482
9.25,77.0,1910,587.3614747002721
9.25,77.0,1911,605.4232479631901
9.25,77.0,1912,742.0026551187038
9.25,77.0,1913,650.0766193121672
9.25,77.0,1914,1045.877278789878
9.25,77.0,1915,532.6784226894379
9.25,77.0,1916,379.3325947523117
9.25,77.0,1917,500.9412685036659
9.25,77.0,1918,525.555428892374
9.25,77.0,1919,630.6434504240751
9.25,77.0,1920,766.5389412939548
9.25,77.0,1921,530.2850669026375
9.25,77.0,1922,846.1191197633743
9.25,77.0,1923,789.931493461132
9.25,77.0,1924,508.9101682603359
9.25,77.0,1925,1025.6857248842716
9.25,77.0,1926,309.28179220855236
9.25,77.0,1927,404.7172585427761
9.25,77.0,1928,647.0516102015972
9.25,77.0,1929,826.7247997075319
9.25,77.0,1930,598.3520342707634
9.25,77.0,1931,675.2500105798244
9.25,77.0,1932,646.9017292261124
9.25,77.0,1933,671.9501715898514
9.25,77.0,1934,330.2679273188114
9.25,77.0,1935,660.1584272906184
9.25,77.0,1936,597.6744110733271
9.25,77.0,1937,611.9595105350018
9.25,77.0,1938,290.4511613249779
9.25,77.0,1939,527.1085578799248
9.25,77.0,1940,579.6964160352945
9.25,77.0,1941,618.506376132369
9.25,77.0,1942,675.4741931855679
9.25,77.0,1943,666.1031593382359
9.25,77.0,1944,827.6817815303802
9.25,77.0,1945,760.6610264182091
9.25,77.0,1946,631.6771566867828
9.25,77.0,1947,348.1260479390621
9.25,77.0,1948,492.39849773049355
9.25,77.0,1949,318.8503970503807
9.25,77.0,1950,495.5475797653198
9.25,77.0,1951,546.8751286864281
9.25,77.0,1952,417.40772257745266
9.25,77.0,1953,423.311464458704
9.25,77.0,1954,638.9905326962471
9.25,77.0,1955,396.0301014184952
9.25,77.0,1956,406.9806374758482
9.25,77.0,1957,603.9967478960752
